size,backend,trial,latency
262144,rccl,5,64.5100
524288,rccl,5,74.8600
1048576,rccl,5,86.4500
4,rccl,6,33.8300
8,rccl,6,34.6000
16,rccl,6,45.3600
32,rccl,6,42.8100
64,rccl,6,39.5900
128,rccl,6,38.4200
256,rccl,6,38.7400
512,rccl,6,39.8000
1024,rccl,6,41.1800
2048,rccl,6,42.2000
4096,rccl,6,43.4400
8192,rccl,6,46.9100
16384,rccl,6,46.3600
32768,rccl,6,46.2400
65536,rccl,6,62.6500
131072,rccl,6,60.0600
262144,rccl,6,63.8800
524288,rccl,6,73.7900
1048576,rccl,6,85.2700
4,rccl,7,34.1500
8,rccl,7,34.1700
16,rccl,7,46.2700
32,rccl,7,38.6700
64,rccl,7,34.6300
128,rccl,7,34.7000
256,rccl,7,35.3200
512,rccl,7,35.4700
1024,rccl,7,36.0500
2048,rccl,7,36.7400
4096,rccl,7,37.8800
8192,rccl,7,41.8100
16384,rccl,7,41.4500
32768,rccl,7,41.0500
65536,rccl,7,60.7900
131072,rccl,7,57.5500
262144,rccl,7,62.2200
524288,rccl,7,73.1000
1048576,rccl,7,84.4000
4,rccl,8,37.7300
8,rccl,8,42.4000
16,rccl,8,47.6100
32,rccl,8,42.6700
64,rccl,8,40.1300
128,rccl,8,40.2700
256,rccl,8,39.3800
512,rccl,8,39.8800
1024,rccl,8,40.3600
2048,rccl,8,40.5100
4096,rccl,8,43.2700
8192,rccl,8,45.4200
16384,rccl,8,45.3200
32768,rccl,8,45.0100
65536,rccl,8,63.1000
131072,rccl,8,61.4200
262144,rccl,8,65.2700
524288,rccl,8,75.7100
1048576,rccl,8,87.2100
4,rccl,9,37.3800
8,rccl,9,43.3800
16,rccl,9,44.2400
32,rccl,9,42.2900
64,rccl,9,38.4900
128,rccl,9,38.9000
256,rccl,9,39.5300
512,rccl,9,39.9100
1024,rccl,9,40.5100
2048,rccl,9,41.3800
4096,rccl,9,42.5600
8192,rccl,9,45.9000
16384,rccl,9,45.4100
32768,rccl,9,45.3200
65536,rccl,9,62.3600
131072,rccl,9,60.0800
262144,rccl,9,63.7400
524288,rccl,9,74.7900
1048576,rccl,9,86.1100
4,rccl,10,34.2000
8,rccl,10,36.0900
16,rccl,10,41.8900
32,rccl,10,39.6600
64,rccl,10,34.6700
128,rccl,10,34.7500
256,rccl,10,34.9500
512,rccl,10,35.3200
1024,rccl,10,35.4100
2048,rccl,10,36.5400
4096,rccl,10,38.5500
8192,rccl,10,41.9400
