size,backend,trial,latency
4096,auto_dcall,1,110.4200
8192,auto_dcall,1,115.4900
16384,auto_dcall,1,118.0900
32768,auto_dcall,1,346.9800
65536,auto_dcall,1,446.0500
131072,auto_dcall,1,609.7300
262144,auto_dcall,1,883.2300
524288,auto_dcall,1,1441.2400
1048576,auto_dcall,1,2237.4500
4,auto_dcall,2,96.4100
8,auto_dcall,2,82.8000
16,auto_dcall,2,80.6300
32,auto_dcall,2,68.9200
64,auto_dcall,2,68.9800
128,auto_dcall,2,74.7800
256,auto_dcall,2,69.4700
512,auto_dcall,2,70.8700
1024,auto_dcall,2,68.1400
2048,auto_dcall,2,71.4100
4096,auto_dcall,2,99.3000
8192,auto_dcall,2,148.8000
16384,auto_dcall,2,115.7600
32768,auto_dcall,2,336.8400
65536,auto_dcall,2,472.2700
131072,auto_dcall,2,644.8800
262144,auto_dcall,2,990.9000
524288,auto_dcall,2,1424.0800
1048576,auto_dcall,2,2397.2300
4,auto_dcall,3,95.7900
8,auto_dcall,3,87.2400
16,auto_dcall,3,84.2500
32,auto_dcall,3,79.5500
64,auto_dcall,3,84.4900
128,auto_dcall,3,79.6200
256,auto_dcall,3,76.8300
512,auto_dcall,3,78.0100
1024,auto_dcall,3,76.7100
2048,auto_dcall,3,84.1400
4096,auto_dcall,3,111.6600
8192,auto_dcall,3,99.3500
16384,auto_dcall,3,138.0600
32768,auto_dcall,3,336.9600
65536,auto_dcall,3,454.6300
131072,auto_dcall,3,608.5100
262144,auto_dcall,3,891.6100
524288,auto_dcall,3,1412.2700
1048576,auto_dcall,3,2429.4900
4,auto_dcall,4,106.1800
8,auto_dcall,4,82.0900
16,auto_dcall,4,71.3000
32,auto_dcall,4,78.5000
64,auto_dcall,4,70.6700
128,auto_dcall,4,79.8300
256,auto_dcall,4,73.8800
512,auto_dcall,4,74.0900
1024,auto_dcall,4,82.6500
2048,auto_dcall,4,76.8600
4096,auto_dcall,4,99.7300
8192,auto_dcall,4,105.4500
16384,auto_dcall,4,129.0200
32768,auto_dcall,4,337.5600
65536,auto_dcall,4,472.8400
131072,auto_dcall,4,621.9300
262144,auto_dcall,4,901.8300
524288,auto_dcall,4,1507.2100
1048576,auto_dcall,4,2463.9600
4,auto_dcall,5,102.8800
8,auto_dcall,5,86.9900
16,auto_dcall,5,75.4700
32,auto_dcall,5,79.8100
64,auto_dcall,5,82.2100
128,auto_dcall,5,77.2600
256,auto_dcall,5,67.4700
512,auto_dcall,5,82.4800
1024,auto_dcall,5,85.8800
2048,auto_dcall,5,78.9900
4096,auto_dcall,5,89.2300
8192,auto_dcall,5,87.4400
16384,auto_dcall,5,118.1600
32768,auto_dcall,5,344.3200
65536,auto_dcall,5,457.4000
131072,auto_dcall,5,631.4500
262144,auto_dcall,5,925.7300
524288,auto_dcall,5,1400.6700
1048576,auto_dcall,5,2279.6000
4,auto_dcall,6,90.6700
8,auto_dcall,6,75.2300
16,auto_dcall,6,70.2800
32,auto_dcall,6,68.7000
64,auto_dcall,6,74.7500
128,auto_dcall,6,79.3300
256,auto_dcall,6,79.0000
512,auto_dcall,6,72.8000
1024,auto_dcall,6,77.0100
2048,auto_dcall,6,79.2400
4096,auto_dcall,6,129.5700
8192,auto_dcall,6,104.1400
16384,auto_dcall,6,123.3400
32768,auto_dcall,6,362.4200
65536,auto_dcall,6,477.1300
131072,auto_dcall,6,656.9000
262144,auto_dcall,6,982.3600
524288,auto_dcall,6,1486.4800
1048576,auto_dcall,6,2334.1400
4,auto_dcall,7,117.1800
8,auto_dcall,7,80.7000
16,auto_dcall,7,81.3900
32,auto_dcall,7,83.3300
64,auto_dcall,7,77.3300
128,auto_dcall,7,80.8300
256,auto_dcall,7,83.0600
512,auto_dcall,7,80.4300
1024,auto_dcall,7,72.9500
2048,auto_dcall,7,73.1300
4096,auto_dcall,7,107.2300
8192,auto_dcall,7,104.2400
16384,auto_dcall,7,133.6000
32768,auto_dcall,7,352.4000
65536,auto_dcall,7,489.6300
131072,auto_dcall,7,676.2000
262144,auto_dcall,7,967.8400
524288,auto_dcall,7,1357.2900
1048576,auto_dcall,7,2302.7900
4,auto_dcall,8,99.7900
8,auto_dcall,8,76.1800
16,auto_dcall,8,71.1700
32,auto_dcall,8,71.2300
64,auto_dcall,8,76.9300
128,auto_dcall,8,73.9700
256,auto_dcall,8,73.5300
512,auto_dcall,8,69.1300
1024,auto_dcall,8,74.5200
2048,auto_dcall,8,72.2100
4096,auto_dcall,8,93.6500
8192,auto_dcall,8,100.8500
16384,auto_dcall,8,108.3700
32768,auto_dcall,8,325.4900
65536,auto_dcall,8,459.2200
131072,auto_dcall,8,595.9800
262144,auto_dcall,8,880.6500
524288,auto_dcall,8,1373.1800
1048576,auto_dcall,8,2041.4800
4,auto_dcall,9,109.9400
8,auto_dcall,9,88.9100
16,auto_dcall,9,69.6500
32,auto_dcall,9,76.0100
64,auto_dcall,9,70.6000
128,auto_dcall,9,69.1400
256,auto_dcall,9,70.2800
512,auto_dcall,9,75.0400
1024,auto_dcall,9,73.1900
2048,auto_dcall,9,67.6700
4096,auto_dcall,9,112.2800
8192,auto_dcall,9,86.2800
16384,auto_dcall,9,117.4600
32768,auto_dcall,9,331.2900
65536,auto_dcall,9,462.4900
131072,auto_dcall,9,617.3600
262144,auto_dcall,9,894.6900
524288,auto_dcall,9,1377.4500
1048576,auto_dcall,9,2245.8000
4,auto_dcall,10,97.1300
8,auto_dcall,10,71.6000
16,auto_dcall,10,78.1700
32,auto_dcall,10,67.9600
64,auto_dcall,10,75.5800
128,auto_dcall,10,71.7300
256,auto_dcall,10,68.7200
512,auto_dcall,10,75.4600
1024,auto_dcall,10,78.6000
2048,auto_dcall,10,72.0400
4096,auto_dcall,10,105.9000
8192,auto_dcall,10,96.3900
16384,auto_dcall,10,117.4900
32768,auto_dcall,10,354.7400
65536,auto_dcall,10,470.6800
131072,auto_dcall,10,659.6900
262144,auto_dcall,10,971.0100
524288,auto_dcall,10,1431.5100
1048576,auto_dcall,10,2167.2700
4,auto_dcnone,1,140.5600
8,auto_dcnone,1,116.0100
